pl_name,pl_hab,pl_orbper,pl_rade,pl_masse,pl_eqt,st_teff,sy_dist
GJ 1002 b,1,10.3465,,,230.9,3024,4.84867
GJ 1002 c,1,21.202,,,181.7,3024,4.84867
GJ 1061 c,1,6.689,,,,2953,3.67278
GJ 1061 d,1,13.031,,,,2953,3.67278
GJ 163 c,1,25.63058,,,,,15.1285
GJ 180 c,1,24.329,,,,3371,11.9407
GJ 180 d,1,106.3,,,,,11.9407
GJ 229 A c,1,121.93268,,,,,5.75624
GJ 273 b,1,18.6498,,,,3382,5.921535
GJ 3293 d,1,48.1345,,,,3466,20.1903
GJ 357 d,1,55.661,,,219.6,3505,9.44181
GJ 367 d,1,34.369,,,,3522,9.41263
GJ 433 d,1,36.059,,,,,9.06456
GJ 514 b,1,140.43,,,202,3728,7.61778
GJ 667 C c,1,28.14,,,,3350,7.24396
GJ 667 C e,1,62.24,,,,3350,7.24396
GJ 667 C f,1,39.026,,,,3350,7.24396
GJ 682 b,1,17.478,,,,3028,5.00671
HD 216520 c,1,154.43,,,,5103,19.552
HD 40307 g,1,196.343,,,255,4867.44,12.9363
HIP 38594 b,1,60.722,,,,,17.7886
HN Lib b,1,36.116,,,234.4,3347,6.24442
K2-18 b,1,32.93963,2.38,7.96,235,3457,38.0266
K2-288 B b,1,31.393463,1.9,,226.36,3341,65.6138
K2-3 d,1,44.55603,1.458,2.2,305.2,3844,44.0727
K2-332 b,1,17.70632,2.2,,266,3315,123.202
K2-72 e,1,24.158868,1.29,,,3360.47,66.4321
K2-9 b,1,18.4498,2.25,,314,3390,82.9631
Kepler-1229 b,1,86.82974,1.34,,212,3577,265.482
Kepler-1410 b,1,60.86628,2.15,,290,3950,
Kepler-1540 b,1,125.4132302,3.14,,266,4641,244.96
Kepler-1544 b,1,168.8116,1.79,,269,4820,335.09
Kepler-155 c,1,52.66156,1.97,,286,4057,293.499
Kepler-1606 b,1,196.4356,2.23,,324,5461,831.287
Kepler-1638 b,1,259.365,1.6,,304,5906,1525.52
Kepler-1649 c,1,19.53527,1.06,,234,3240,92.1913
Kepler-1653 b,1,140.2524,2.17,,284,4807,
Kepler-1701 b,1,169.135056,2.21,,273,5171,584.142
Kepler-174 d,1,247.354914,2.29,,212,4859,384.757
Kepler-186 f,1,129.9441,1.17,,,3755,177.594
